HenhouseId,Date,AvgPixelCount,AvgBboxWidth,AvgBboxHeight,NumberOfDaysFromStart,PreviousWeight,AverageWeight
157,2024-08-16,247.0082623935904,42.348582,40.735005,1,45.0,60
157,2024-08-17,256.64153969526865,43.749074,42.513553,2,60.0,75
157,2024-08-18,269.6038027332145,45.100976,44.17378,3,75.0,95
157,2024-08-19,358.32670807453417,53.410305,51.932653,4,95.0,120
157,2024-08-20,464.9144558743909,62.90513,61.524073,5,120.0,150
157,2024-08-21,498.81073274551534,65.663368,64.447958,6,150.0,185
157,2024-08-22,533.7896825396825,68.240751,67.516695,7,185.0,220
157,2024-08-23,572.6436198899795,71.684651,70.485931,8,220.0,257
157,2024-08-24,610.6568480112213,74.628364,73.894165,9,257.0,293
157,2024-08-25,641.7465125167208,77.388605,76.47434,10,293.0,328
157,2024-08-26,684.8342924022237,80.701848,79.878074,11,328.0,364
157,2024-08-27,721.0765420560748,82.905318,83.27465,12,364.0,400
157,2024-08-28,765.4,86.27597,86.197779,13,400.0,473
157,2024-08-29,821.6449819565005,89.977226,90.029575,14,473.0,546
157,2024-08-30,879.6246407357731,93.221111,93.907828,15,546.0,622
157,2024-08-31,933.0123237700876,96.477875,96.854058,16,622.0,693
157,2024-09-01,987.4625576602218,99.261798,100.342328,17,693.0,766
157,2024-09-02,1041.924548879635,102.564835,103.453669,18,766.0,840
157,2024-09-03,1083.4636293286903,105.21504,105.369526,19,840.0,926
157,2024-09-04,1137.4366531500343,108.071349,108.786516,20,926.0,1012
157,2024-09-05,1177.0726063060456,110.341252,111.357813,21,1012.0,1089
157,2024-09-06,1235.326806480469,113.439673,114.268442,22,1089.0,1184
157,2024-09-07,1289.2529648344848,116.661238,116.970151,23,1184.0,1270
157,2024-09-08,1327.9115195339962,118.870895,119.119776,24,1270.0,1312
157,2024-09-09,1383.1488597972973,121.152539,121.831688,25,1312.0,1355
157,2024-09-10,1407.0599239387398,122.078674,124.076445,26,1355.0,1398
157,2024-09-11,1408.8577959342476,123.135042,124.548149,27,1398.0,1441
157,2024-09-12,1462.4990738835152,125.447158,127.518501,28,1441.0,1484
157,2024-09-13,1566.253294117647,130.436429,131.575101,29,1484.0,1557
157,2024-09-14,1682.675922199866,134.541267,136.375676,30,1557.0,1671
157,2024-09-15,1766.746782897468,138.226836,139.906904,31,1671.0,1765
157,2024-09-16,1815.6057585825029,140.70658,141.639962,32,1765.0,1858
157,2024-09-17,1870.6340636042405,142.708093,144.616271,33,1858.0,1952
157,2024-09-18,1959.1894892672087,146.503449,147.759575,34,1952.0,2046
157,2024-09-19,2022.1892347799417,148.978359,150.559052,35,2046.0,2140
157,2024-09-20,2123.6669195751138,149.961578,153.000669,36,2140.0,2290
157,2024-09-21,2220.499297893681,154.80547,155.517029,37,2290.0,2390
157,2024-09-22,2288.095638255302,157.256888,157.88015,38,2390.0,2509
157,2024-09-23,2365.194867515126,160.456332,159.443384,39,2509.0,2584
157,2024-09-24,2155.42605956344,152.779589,153.884963,40,2584.0,2652
162,2024-10-07,329.0566733735748,49.808296,48.387924,0,2652.0,46
162,2024-10-08,341.144140675138,51.348419,50.584347,1,46.0,59
162,2024-10-09,381.2861803775344,54.588685,53.84724,2,59.0,75
162,2024-10-10,401.9735099337749,56.843665,55.637103,3,75.0,92
162,2024-10-11,426.6784244562022,59.396143,57.550946,4,92.0,101
162,2024-10-12,451.71546123863146,62.106359,59.639157,5,101.0,125
162,2024-10-13,483.81373061508975,64.344561,62.685784,6,125.0,148
162,2024-10-14,514.5773379012816,66.844807,65.90442,7,148.0,179
162,2024-10-15,550.1851274629856,69.842977,69.067952,8,179.0,209
162,2024-10-16,589.8552407328505,73.287508,72.163699,9,209.0,237
162,2024-10-17,632.9743806902393,76.409214,75.775562,10,237.0,292
162,2024-10-18,670.5086508650866,79.268812,79.327899,11,292.0,330
162,2024-10-19,710.6633285646161,81.990343,82.649185,12,330.0,361
162,2024-10-20,755.9886983632113,85.2187,85.550342,13,361.0,390
162,2024-10-21,809.9996171149612,88.526218,89.60045,14,390.0,452
162,2024-10-22,874.8777956880919,91.965449,94.171527,15,452.0,502
162,2024-10-23,930.9436591478697,95.341877,97.369661,16,502.0,561
162,2024-10-24,986.7114503816794,99.616379,99.908449,17,561.0,623
162,2024-10-25,1029.3330679669618,101.788831,102.92093,18,623.0,691
162,2024-10-26,1075.2193934476113,104.442523,105.344649,19,691.0,750
162,2024-10-27,1130.261554297478,107.648622,108.711839,20,750.0,794
162,2024-10-28,1182.841241638796,110.262094,111.875122,21,794.0,850
162,2024-10-29,1238.9410423452769,113.253877,114.484764,22,850.0,932
162,2024-10-30,1290.3423227490214,115.943915,117.1611,23,932.0,1025
162,2024-10-31,1328.086272381986,118.404762,118.660278,24,1025.0,1120
162,2024-11-01,1341.182821289485,119.08628,119.664003,25,1120.0,1194
162,2024-11-02,1369.764283451262,121.295101,121.55771,26,1194.0,1283
162,2024-11-03,1426.819183544968,123.775901,125.051797,27,1283.0,1369
162,2024-11-04,1489.1895135135137,126.533073,128.135651,28,1369.0,1440
162,2024-11-05,1606.4561611374409,131.127081,131.133774,29,1440.0,1524
162,2024-11-06,1728.9815321477429,135.241573,137.474285,30,1524.0,1616
